brand_names,model name,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,screen size,screen resolution,OS,Warranty
dell,Dell Inspiron 7420 D560828WIN9S ,80990,,Intel,i5,12.0,10,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1200 ,Windows 11 ,1.0
hp,HP Spectre x360 13-ef0052TU OLED ,110480,67.0,Intel,i5,12.0,10,8.0,8,lpddr4x,SSD,512.0,13.5, 3000 x 2000 ,Windows 11 ,1.0
asus,Asus ROG Strix G17 G713RM-KH168W Gaming ,137028,67.0,AMD,ryzen,6.0,8,16.0,16,ddr5,SSD,1024.0,17.3, 1920 x 1080 ,Windows 11 ,1.0
gigabyte,Gigabyte Aorus 15 XE5 Gaming ,184900,82.0,Intel,i7,12.0,14,16.0,16,ddr4,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,2.0
hp,HP Spectre x360 16-f1009TX ,176990,74.0,Intel,i7,12.0,12,16.0,16,lpddr4x,SSD,1024.0,16.0, 3840 x 2400 ,Windows 11 ,1.0
asus,Asus ROG Zephyrus G15 2022 GA503RM-HQ030WS Gaming ,161990,84.0,AMD,ryzen,6.0,8,16.0,16,ddr5,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,1.0
msi,MSI Stealth GS77 12UGS Gaming ,308990,,Intel,i7,12.0,14,32.0,32,ddr5,SSD,2048.0,17.3, 2560 x 1440 ,Windows 11 ,2.0
asus,Asus ProArt StudioBook Pro 16 H7600ZW-L711WS ,238121,,Intel,i7,12.0,14,32.0,32,ddr5,SSD,1024.0,16.0, 3840 x 2400 ,Windows 10 ,1.0
asus,Asus ProArt StudioBook Pro 16 H7600ZM-L901WS ,217490,87.0,Intel,i9,12.0,14,16.0,16,ddr5,SSD,1024.0,16.0, 3840 x 2400 ,Windows 11 ,1.0
dell,Dell Latitude 3420 ,42000,,Intel,i3,11.0,2,4.0,4,ddr4,SSD,512.0,14.0, 1366 x 768 ,Ubuntu ,1.0
hp,HP 250 G8 64Q91PA ,64000,,Intel,i5,11.0,4,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1366 x 768 ,Windows 11 ,1.0
asus,Asus ROG Zephyrus G15 2022 GA503RM-HQ057WS Gaming ,161990,85.0,AMD,ryzen,6.0,8,16.0,16,ddr5,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,1.0
dell,Dell Latitude 3420 ,34800,,Intel,i3,11.0,2,4.0,4,ddr4,SSD,256.0,14.0, 1366 x 768 ,Ubuntu ,1.0
dell,Dell Latitude 3420 ,41500,,Intel,i3,11.0,2,4.0,4,ddr4,Hard Disk,1024.0,14.0, 1366 x 768 ,Ubuntu ,
lenovo,Lenovo Ideapad Slim 5 82FG01B5IN ,72759,67.0,Intel,i5,11.0,4,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
