,model,price,score,processor,no of cores,storage,ram,display,os,warranty
558,Lenovo IdeaPad Gaming 3 15IAH7 82S900RAIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹89,990",74,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
559,Lenovo IdeaPad Slim 3 82RK00EDIN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹62,390",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
560,Dell Alienware X17 R2 D569943WIN9 Gaming Laptop (12th Gen Core i7/ 32GB/ 1TB SSD/ Win 11/ 8GB Graph),"₹3,00,490",,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,32 GB LPDDR5 RAM,"17.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
561,Panasonic Toughbook 40 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),"₹3,74,990",72,11th Gen Intel Core i5 1145G7 vPro,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,Windows 11 OS,1 Year Warranty,Backlit Keyboard
562,HP Victus 15-fb0050AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹54,750",72,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
563,HP 15s-eq1561AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 256GB SSD/ Win11 Home),"₹29,997",,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",256 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
564,Asus Vivobook 15 2022 X1502ZA-EJ302WS Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹40,990",,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",256 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
565,Acer Aspire 7 A715-42G UN.QAYSI.006 Gaming Laptop (AMD Ryzen 5-5500U/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹58,990",68,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
566,Asus Vivobook S14 Flip 2022 TN3402QA-LZ511WS Laptop (AMD Ryzen 5-5600H/ 16GB/ 512GB SSD/Win11),"₹72,990",63,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
567,Dell Vostro 5625 laptop (AMD Ryzen 7-5825U/ 16GB/ 512GB SSD/ Win 11),"₹72,500",61,5th Gen AMD Ryzen 7 5825U,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
568,Fujitsu CH FPC02548LK Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹59,990",62,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",512 GB SSD,16 GB LPDDR4X RAM,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
569,Lenovo Ideapad Gaming 3 82K201UKIN Laptop (Ryzen 7 5800H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹71,990",67,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
570,Lenovo IdeaPad Gaming 3 82K1019AIN Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),"₹64,990",72,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",1 TB Hard Disk,8 GB DDR4 RAM,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
571,HP Victus 15-fa0073TX Laptop (12th Gen Core i7/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹89,990",61,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
572,Dell Vostro 3525 Laptop (AMD Ryzen7 5825U/ 8GB/ 512GB SSD/ Win11),"₹57,990",67,5th Gen AMD Ryzen 7  5825U,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
573,Dell Vostro 3425 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB/ Win11 Home),"₹52,290",67,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
574,Acer Aspire 5 NX.K6SSI.002 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹40,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
575,Lenovo IdeaPad Gaming 3 15ACH6 82K201UXIN Laptop (Ryzen 7 5800H/ 16GB/ 512GB SDD/ Win11 Home/ 6GB Graph),"₹1,09,990",76,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
576,Asus ROG Zephyrus Duo 16 2022 GX650RXZ-LB226WS Gaming Laptop ( AMD 9 6900HX/ 32GB/ 2TB SSD/ Win11 / 16GB Graph),"₹3,96,990",,6th Gen AMD Ryzen 9  6900HX,"Octa Core, 16 Threads",2 TB SSD,32 GB DDR5 RAM,"16 inches, 3840 x 2400 pixels",Windows 11 OS,1 Year Warranty
577,Asus ROG Flow X16 2022 GV601RM-M6054WS Gaming Laptop (Ryzen 7 6800HS/ 16GB/ 1TB SSD/ Win11 / 6GB Graph),"₹1,71,990",82,6th Gen AMD Ryzen 7  6800HS,"Octa Core, 16 Threads",1 TB SSD,16 GB DDR5 RAM,"16 inches, 2560 x 1600 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
578,HP Pavilion x360 14-ek0092TU Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹83,999",61,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
579,Dell Inspiron 7620 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹87,500",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"16 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
580,HP Pavilion x360 14-ek0078TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹72,990",60,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
581,Asus Zenbook Flip 14 OLED UP5401ZA-KN501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹89,299",65,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB LPDDR5 RAM,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
582,Asus Zenbook Flip 14 OLED UP5401ZA-KN701WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹1,34,990",75,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",512 GB SSD,16 GB LPDDR5 RAM,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
583,Asus Vivobook Flip 14 TP3402ZA-LZ511WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹79,990",71,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
